model_id,family,data_mode,candidate_rank,source_optimizer,source_trial,seed,valid_relative_l2_horizon_time,valid_relative_l2_mean,finite_relative_l2_fraction
perc_latent8,perc,latent8,5,forest,69,9403112,19.0,0.5052050776502346,0.0525252525252525
perc_latent8,perc,latent8,5,forest,69,9403113,7.1000000000000005,0.5929962695833233,0.0557575757575757
perc_latent8,perc,latent8,5,forest,69,9403114,8.0,1.200122282147425,1.0
perc_latent8,perc,latent8,5,forest,69,9403115,7.800000000000001,0.8322347789233225,0.0579797979797979
perc_latent8,perc,latent8,6,gp,38,9403101,17.2,0.9949472702672338,0.0973737373737373
perc_latent8,perc,latent8,6,gp,38,9403102,12.1,1.206406280464808,0.1296969696969697
perc_latent8,perc,latent8,6,gp,38,9403103,16.5,1.2044028050500606,0.1474747474747474
perc_latent8,perc,latent8,6,gp,38,9403104,16.5,1.287140103580651,0.1452525252525252
perc_latent8,perc,latent8,6,gp,38,9403105,17.0,1.0337366621030917,0.2022222222222222
perc_latent8,perc,latent8,6,gp,38,9403106,8.700000000000001,1.208012099010606,0.2036363636363636
perc_latent8,perc,latent8,6,gp,38,9403107,7.6,1.018933730059608,0.1088888888888888
perc_latent8,perc,latent8,6,gp,38,9403108,13.7,1.1354545063742552,1.0
perc_latent8,perc,latent8,6,gp,38,9403109,17.900000000000002,1.0556880158296638,0.1789898989898989
perc_latent8,perc,latent8,6,gp,38,9403110,11.6,0.9061327926033956,0.0563636363636363
perc_latent8,perc,latent8,6,gp,38,9403111,18.6,0.8746746899517162,0.181010101010101
perc_latent8,perc,latent8,6,gp,38,9403112,7.1000000000000005,1.0625854585210586,1.0
perc_latent8,perc,latent8,6,gp,38,9403113,16.2,0.7010304289698915,0.0743434343434343
perc_latent8,perc,latent8,6,gp,38,9403114,20.6,0.9054939225905784,0.085050505050505
perc_latent8,perc,latent8,6,gp,38,9403115,6.800000000000001,1.0864561817004392,1.0
perc_latent8,perc,latent8,7,forest,65,9403101,6.2,0.5924008518704995,0.0591919191919191
perc_latent8,perc,latent8,7,forest,65,9403102,6.9,1.1458358085466924,0.0818181818181818
perc_latent8,perc,latent8,7,forest,65,9403103,15.7,0.986650651851172,0.0668686868686868
perc_latent8,perc,latent8,7,forest,65,9403104,17.400000000000002,1.0396714140416203,0.0741414141414141
perc_latent8,perc,latent8,7,forest,65,9403105,5.4,1.027378435670996,0.065050505050505
perc_latent8,perc,latent8,7,forest,65,9403106,16.8,0.9872856635840936,0.0634343434343434
perc_latent8,perc,latent8,7,forest,65,9403107,18.5,1.2374564929092209,0.2616161616161616
perc_latent8,perc,latent8,7,forest,65,9403108,7.5,0.7436806489792542,0.0509090909090909
perc_latent8,perc,latent8,7,forest,65,9403109,16.7,0.908503222116406,0.0591919191919191
perc_latent8,perc,latent8,7,forest,65,9403110,15.6,0.9848199864329528,0.064040404040404
perc_latent8,perc,latent8,7,forest,65,9403111,6.0,0.8091589705722507,0.0529292929292929
perc_latent8,perc,latent8,7,forest,65,9403112,16.1,0.8397659651323817,0.0555555555555555
perc_latent8,perc,latent8,7,forest,65,9403113,5.800000000000001,0.8386229776843517,0.0703030303030303
perc_latent8,perc,latent8,7,forest,65,9403114,6.4,1.123250019815718,0.103030303030303
perc_latent8,perc,latent8,7,forest,65,9403115,6.300000000000001,1.0411279904005724,0.0626262626262626
perc_latent8,perc,latent8,8,forest,57,9403101,7.2,0.8998543771320567,0.0961616161616161
perc_latent8,perc,latent8,8,forest,57,9403102,6.5,1.2521464273615397,0.2206060606060606
perc_latent8,perc,latent8,8,forest,57,9403103,15.0,1.0487904122414549,0.0688888888888888
perc_latent8,perc,latent8,8,forest,57,9403104,17.6,1.371674913688866,0.2137373737373737
perc_latent8,perc,latent8,8,forest,57,9403105,6.2,1.1847795361654097,0.147070707070707
perc_latent8,perc,latent8,8,forest,57,9403106,8.1,1.405453836180905,0.1436363636363636
